mode,scale,fromToken,fromHex,toToken,toHex,source,nearestDeltaE
light,red,red.5,#cf222e,red.9,#cf2230,token-remap,1.12
light,red,red.6,#a40e26,red.10,#ae0b29,token-remap,3.91
light,red,red.7,#82071e,red.11,#860620,token-remap,1.61
light,red,red.8,#660018,red.12,#730019,nearest-color,6.02
light,red,red.9,#4c0014,red.14,#420011,nearest-color,4.51
light,yellow,yellow.0,#fff8c5,yellow.1,#fff8c5,token-remap,0
light,yellow,yellow.1,#fae17d,yellow.3,#ffe777,nearest-color,5.69
light,yellow,yellow.2,#eac54f,yellow.5,#fabf21,token-remap,13.39
light,yellow,yellow.3,#d4a72c,yellow.7,#db9d00,token-remap,10.59
light,yellow,yellow.4,#bf8700,yellow.8,#be7d00,nearest-color,5.96
light,yellow,yellow.5,#9a6700,yellow.9,#a06100,token-remap,6.21
light,yellow,yellow.6,#7d4e00,yellow.10,#824800,nearest-color,5.93
light,yellow,yellow.7,#633c01,yellow.11,#653200,token-remap,7.51
light,yellow,yellow.8,#4d2d00,yellow.12,#5b2c01,token-remap,8.21
light,yellow,yellow.9,#3b2300,yellow.13,#471f00,token-remap,8.21
light,display.auburn,display.auburn.0,#f2e9e9,display.auburn.1,#f2e9e9,token-remap,0
light,display.auburn,display.auburn.1,#e6d6d5,display.auburn.2,#e6d6d5,token-remap,0
light,display.auburn,display.auburn.2,#d4b7b5,display.auburn.2,#e6d6d5,token-remap,0
light,display.auburn,display.auburn.3,#c59e9b,display.auburn.3,#d4b7b5,token-remap,0
light,display.auburn,display.auburn.4,#b4827e,display.auburn.4,#cdaaa8,token-remap,0
light,display.auburn,display.auburn.5,#9d615c,display.auburn.7,#9d615c,token-remap,0
light,display.auburn,display.auburn.6,#8a5551,display.auburn.9,#8a5551,token-remap,0
light,display.auburn,display.auburn.7,#744744,display.auburn.7,#9d615c,token-remap,0
light,display.auburn,display.auburn.8,#5d3937,display.auburn.8,#935b56,token-remap,0
light,display.auburn,display.auburn.9,#432928,display.auburn.9,#8a5551,token-remap,0
light,display.blue,display.blue.0,#d1f0ff,display.blue.2,#d7f1ff,token-remap,1.78
light,display.blue,display.blue.1,#ade1ff,display.blue.3,#bce1ff,token-remap,4.53
light,display.blue,display.blue.2,#75c8ff,display.blue.4,#8dd6ff,token-remap,8.47
light,display.blue,display.blue.3,#47afff,display.blue.6,#55aeff,token-remap,2.55
light,display.blue,display.blue.4,#0f8fff,display.blue.7,#3094ff,token-remap,3.41
light,display.blue,display.blue.5,#006edb,display.blue.9,#0064e3,token-remap,11.71
light,display.blue,display.blue.6,#005fcc,display.blue.10,#0055d5,token-remap,10.46
light,display.blue,display.blue.7,#004db3,display.blue.11,#0040a7,token-remap,6.07
light,display.blue,display.blue.8,#003d99,display.blue.12,#002f7a,token-remap,6.64
light,display.blue,display.blue.9,#002b75,display.blue.13,#002170,token-remap,1.86
light,display.brown,display.brown.0,#eeeae2,display.brown.1,#eeeae2,token-remap,0
light,display.brown,display.brown.1,#dfd7c8,display.brown.2,#dfd7c8,token-remap,0
light,display.brown,display.brown.2,#cbbda4,display.brown.2,#dfd7c8,token-remap,0
light,display.brown,display.brown.3,#b8a484,display.brown.3,#cbbda4,token-remap,0
light,display.brown,display.brown.4,#a68b64,display.brown.4,#c1b094,token-remap,0
light,display.brown,display.brown.5,#856d4c,display.brown.7,#856d4c,token-remap,0
light,display.brown,display.brown.6,#755f43,display.brown.9,#755f43,token-remap,0
light,display.brown,display.brown.7,#64513a,display.brown.7,#856d4c,token-remap,0
light,display.brown,display.brown.8,#51412f,display.brown.8,#7d6647,token-remap,0
light,display.brown,display.brown.9,#3a2e22,display.brown.9,#755f43,token-remap,0
light,display.coral,display.coral.0,#ffe5db,display.coral.2,#ffe9e1,token-remap,2.19
light,display.coral,display.coral.1,#fecebe,display.coral.4,#ffcab8,token-remap,2.52
light,display.coral,display.coral.2,#fcab92,display.coral.5,#ffb091,token-remap,3.33
light,display.coral,display.coral.3,#f88768,display.coral.6,#ff8864,token-remap,4.29
light,display.coral,display.coral.4,#f25f3a,display.coral.7,#fe4c25,token-remap,11.67
light,display.coral,display.coral.5,#d43511,display.coral.8,#e13f1b,token-remap,3.79
light,display.coral,display.coral.6,#ba2e12,display.coral.9,#c53211,token-remap,4.63
light,display.coral,display.coral.7,#9b2712,display.coral.10,#a22710,token-remap,3.69
light,display.coral,display.coral.8,#7e2011,display.coral.11,#801e0f,token-remap,1.92
light,display.coral,display.coral.9,#5d180e,display.coral.13,#560f02,token-remap,3.3
light,display.cyan,display.cyan.0,#bdf4ff,display.cyan.1,#bdf4ff,token-remap,0
light,display.cyan,display.cyan.1,#7ae9ff,display.cyan.2,#7ae9ff,token-remap,0
light,display.cyan,display.cyan.2,#00d0fa,display.cyan.2,#7ae9ff,token-remap,0
light,display.cyan,display.cyan.3,#00b7db,display.cyan.3,#00d0fa,token-remap,0
light,display.cyan,display.cyan.4,#0099b8,display.cyan.4,#1cc3e9,token-remap,0
light,display.cyan,display.cyan.5,#007b94,display.cyan.7,#007b94,token-remap,0
light,display.cyan,display.cyan.6,#006a80,display.cyan.9,#006a80,token-remap,0
light,display.cyan,display.cyan.7,#00596b,display.cyan.7,#007b94,token-remap,0
light,display.cyan,display.cyan.8,#004857,display.cyan.8,#00728a,token-remap,0
light,display.cyan,display.cyan.9,#003742,display.cyan.9,#006a80,token-remap,0
light,display.gray,display.gray.0,#e8ecf2,display.gray.0,#f9fbf9,token-remap,5.86
light,display.gray,display.gray.1,#d2dae4,display.gray.2,#e9f0eb,token-remap,9.59
light,display.gray,display.gray.2,#b4c0cf,display.gray.5,#b8c4bc,token-remap,12.4
light,display.gray,display.gray.3,#9ba9bb,display.gray.6,#9ca89f,token-remap,14.93
light,display.gray,display.gray.4,#808fa3,display.gray.7,#859188,token-remap,16.5
light,display.gray,display.gray.5,#647182,display.gray.8,#6c786f,token-remap,15.55
light,display.gray,display.gray.6,#5c6570,display.gray.10,#58635b,token-remap,11.73
light,display.gray,display.gray.7,#4e535a,display.gray.11,#39423b,token-remap,11.23
light,display.gray,display.gray.8,#424448,display.gray.12,#353c37,token-remap,7.68
light,display.gray,display.gray.9,#303031,display.gray.13,#252b27,token-remap,5.48
light,display.green,display.green.0,#caf7ca,display.green.0,#caf7ca,token-remap,0
light,display.green,display.green.1,#9ceda0,display.green.1,#9ceda0,token-remap,0
light,display.green,display.green.2,#54d961,display.green.2,#54d961,token-remap,0
light,display.green,display.green.3,#31bf46,display.green.3,#31bf46,token-remap,0
light,display.green,display.green.4,#30a147,display.green.4,#30a147,token-remap,0
light,display.green,display.green.5,#2c8141,display.green.5,#2c8141,token-remap,0
light,display.green,display.green.6,#2b6e3f,display.green.6,#2b6e3f,token-remap,0
light,display.green,display.green.7,#285c3b,display.green.7,#285c3b,token-remap,0
light,display.green,display.green.8,#254b34,display.green.8,#254b34,token-remap,0
light,display.green,display.green.9,#1d3528,display.green.9,#1d3528,token-remap,0
light,display.indigo,display.indigo.0,#e5e9ff,display.indigo.0,#f7f9ff,token-remap,2.9
light,display.indigo,display.indigo.1,#d2d7fe,display.indigo.1,#eff2ff,token-remap,2.15
light,display.indigo,display.indigo.2,#b1b9fb,display.indigo.2,#e8edfe,token-remap,4.68
light,display.indigo,display.indigo.3,#979ff7,display.indigo.3,#d4dbff,token-remap,2.42
light,display.indigo,display.indigo.4,#7a82f0,display.indigo.4,#b3c1fd,token-remap,4.93
light,display.indigo,display.indigo.5,#5a61e7,display.indigo.5,#94a5f0,token-remap,7.24
light,display.indigo,display.indigo.6,#494edf,display.indigo.9,#4956e5,token-remap,3.66
light,display.indigo,display.indigo.7,#393cd5,display.indigo.7,#7485ec,token-remap,1.77
light,display.indigo,display.indigo.8,#2d2db4,display.indigo.8,#6b7bef,token-remap,3.37
light,display.indigo,display.indigo.9,#25247b,display.indigo.9,#4956e5,token-remap,6.82
light,display.lemon,display.lemon.0,#f7eea1,display.lemon.1,#fdf5b3,token-remap,6.21
light,display.lemon,display.lemon.1,#f0db3d,display.lemon.4,#f2da3b,token-remap,1.41
light,display.lemon,display.lemon.2,#d8bd0e,display.lemon.2,#feee92,token-remap,3.78
light,display.lemon,display.lemon.3,#c2a60a,display.lemon.3,#f5e36b,token-remap,2.34
light,display.lemon,display.lemon.4,#a68c07,display.lemon.4,#f2da3b,token-remap,3.06
light,display.lemon,display.lemon.5,#866e04,display.lemon.8,#927803,token-remap,2.98
light,display.lemon,display.lemon.6,#786002,display.lemon.9,#806803,token-remap,4.05
light,display.lemon,display.lemon.7,#654f01,display.lemon.7,#a98906,token-remap,1.64
light,display.lemon,display.lemon.8,#523f00,display.lemon.8,#927803,token-remap,7.75
light,display.lemon,display.lemon.9,#3d2e00,display.lemon.9,#806803,token-remap,2.79
light,display.lime,display.lime.0,#e3f2b5,display.lime.0,#f4ffc9,token-remap,6.4
light,display.lime,display.lime.1,#c7e580,display.lime.1,#ecfda7,token-remap,13.33
light,display.lime,display.lime.2,#9bd039,display.lime.2,#dcfa67,token-remap,6.43
light,display.lime,display.lime.3,#80b530,display.lime.3,#cbea4e,token-remap,6.54
light,display.lime,display.lime.4,#6c9d2f,display.lime.4,#b2de28,token-remap,6.47
light,display.lime,display.lime.5,#527a29,display.lime.5,#aad033,token-remap,4.9
light,display.lime,display.lime.6,#476c28,display.lime.6,#8db624,token-remap,6.06
light,display.lime,display.lime.7,#3a5b25,display.lime.7,#73991e,token-remap,6.14
light,display.lime,display.lime.8,#2f4a21,display.lime.8,#698e17,token-remap,9.99
light,display.lime,display.lime.9,#213319,display.lime.9,#54741c,token-remap,8.95
light,display.olive,display.olive.0,#f0f0ad,display.olive.1,#f0f0ad,token-remap,0
light,display.olive,display.olive.1,#dbe170,display.olive.2,#dbe170,token-remap,0
light,display.olive,display.olive.2,#b9c832,display.olive.2,#dbe170,token-remap,0
light,display.olive,display.olive.3,#9bae32,display.olive.3,#b9c832,token-remap,0
light,display.olive,display.olive.4,#819532,display.olive.4,#aabb32,token-remap,0
light,display.olive,display.olive.5,#64762d,display.olive.7,#64762d,token-remap,0
light,display.olive,display.olive.6,#56682c,display.olive.9,#56682c,token-remap,0
light,display.olive,display.olive.7,#495a2b,display.olive.7,#64762d,token-remap,0
light,display.olive,display.olive.8,#3b4927,display.olive.8,#5d6f2d,token-remap,0
light,display.olive,display.olive.9,#2a331f,display.olive.9,#56682c,token-remap,0
light,display.orange,display.orange.0,#ffe7d1,display.orange.2,#fee9da,token-remap,3.87
light,display.orange,display.orange.1,#fecfaa,display.orange.4,#fcceab,token-remap,1.19
light,display.orange,display.orange.2,#fbaf74,display.orange.5,#f9b480,token-remap,5.5
light,display.orange,display.orange.3,#f68c41,display.orange.7,#f08a3a,token-remap,2.62
light,display.orange,display.orange.4,#eb670f,display.orange.8,#da7210,token-remap,12.16
light,display.orange,display.orange.5,#b8500f,display.orange.9,#aa5200,token-remap,7.3
light,display.orange,display.orange.6,#a24610,display.orange.10,#954502,token-remap,5.84
light,display.orange,display.orange.7,#8d3c11,display.orange.11,#703100,token-remap,8.74
light,display.orange,display.orange.8,#70300f,display.orange.12,#5c2300,token-remap,6.48
light,display.orange,display.orange.9,#54230d,display.orange.13,#4d1a00,token-remap,3.88
light,display.pine,display.pine.0,#bff8db,display.pine.0,#e1fdee,token-remap,0
light,display.pine,display.pine.1,#80efb9,display.pine.1,#bff8db,token-remap,0
light,display.pine,display.pine.2,#1dd781,display.pine.2,#80efb9,token-remap,0
light,display.pine,display.pine.3,#1dbf76,display.pine.3,#1dd781,token-remap,0
light,display.pine,display.pine.4,#1aa267,display.pine.4,#1dcb7c,token-remap,0
light,display.pine,display.pine.5,#167e53,display.pine.5,#1dbf76,token-remap,0
light,display.pine,display.pine.6,#156f4b,display.pine.6,#1aa267,token-remap,0
light,display.pine,display.pine.7,#135d41,display.pine.7,#167e53,token-remap,0
light,display.pine,display.pine.8,#114b36,display.pine.8,#15764f,token-remap,0
light,display.pine,display.pine.9,#0d3627,display.pine.9,#156f4b,token-remap,0
light,display.pink,display.pink.0,#ffe5f1,display.pink.2,#ffe5fd,token-remap,4.98
light,display.pink,display.pink.1,#fdc9e2,display.pink.3,#ffc9f2,token-remap,8.26
light,display.pink,display.pink.2,#f8a5cf,display.pink.4,#fd9fe2,token-remap,13.05
light,display.pink,display.pink.3,#f184bc,display.pink.5,#f67ed2,token-remap,12.5
light,display.pink,display.pink.4,#e55da5,display.pink.7,#f93bb4,token-remap,14.87
light,display.pink,display.pink.5,#ce2c85,display.pink.9,#ca2186,token-remap,4.01
light,display.pink,display.pink.6,#b12f79,display.pink.10,#952866,token-remap,10.14
light,display.pink,display.pink.7,#8e2e66,display.pink.11,#83255a,token-remap,4.34
light,display.pink,display.pink.8,#6e2b53,display.pink.12,#651643,token-remap,7.41
light,display.pink,display.pink.9,#4d233d,display.pink.13,#4f1135,token-remap,9.36
light,display.plum,display.plum.0,#f8e5ff,display.plum.1,#f8e5ff,token-remap,0
light,display.plum,display.plum.1,#f0cdfe,display.plum.2,#f0cdfe,token-remap,0
light,display.plum,display.plum.2,#e2a7fb,display.plum.2,#f0cdfe,token-remap,0
light,display.plum,display.plum.3,#d487f7,display.plum.3,#e2a7fb,token-remap,0
light,display.plum,display.plum.4,#c264f2,display.plum.4,#db97f9,token-remap,0
light,display.plum,display.plum.5,#a830e8,display.plum.7,#a830e8,token-remap,0
light,display.plum,display.plum.6,#961edc,display.plum.9,#961edc,token-remap,0
light,display.plum,display.plum.7,#7d1eb8,display.plum.7,#a830e8,token-remap,0
light,display.plum,display.plum.8,#651d96,display.plum.8,#9f28e2,token-remap,0
light,display.plum,display.plum.9,#471769,display.plum.9,#961edc,token-remap,0
light,display.purple,display.purple.0,#f1e5ff,display.purple.2,#f0e5ff,token-remap,0.36
light,display.purple,display.purple.1,#e6d2fe,display.purple.3,#e9d5ff,token-remap,1.48
light,display.purple,display.purple.2,#d1b1fc,display.purple.5,#d9b3ff,token-remap,2.39
light,display.purple,display.purple.3,#bc91f8,display.purple.6,#c898fd,token-remap,3.6
light,display.purple,display.purple.4,#a672f3,display.purple.8,#b169ff,token-remap,9.04
light,display.purple,display.purple.5,#894ceb,display.purple.9,#8534f3,token-remap,13.15
light,display.purple,display.purple.6,#783ae4,display.purple.10,#6619e1,token-remap,9.74
light,display.purple,display.purple.7,#6223d7,display.purple.11,#5620c3,token-remap,7.59
light,display.purple,display.purple.8,#4f21ab,display.purple.12,#43179e,token-remap,4.31
light,display.purple,display.purple.9,#391b79,display.purple.13,#26115f,token-remap,10.56
light,display.red,display.red.0,#ffe2e0,display.red.2,#ffebe9,token-remap,4.16
light,display.red,display.red.1,#fecdcd,display.red.3,#ffcecb,token-remap,1.57
light,display.red,display.red.2,#fda5a7,display.red.5,#ffaba8,token-remap,3.25
light,display.red,display.red.3,#fb8389,display.red.6,#ff8182,token-remap,4.39
light,display.red,display.red.4,#f85461,display.red.7,#fa4549,token-remap,12.44
light,display.red,display.red.5,#df0c24,display.red.8,#e42f3a,token-remap,9.91
light,display.red,display.red.6,#c50d28,display.red.9,#cf2230,token-remap,3.5
light,display.red,display.red.7,#a60c29,display.red.10,#ae0b29,token-remap,3.65
light,display.red,display.red.8,#880c27,display.red.11,#860620,token-remap,3.53
light,display.red,display.red.9,#610a20,display.red.13,#580818,token-remap,4.23
light,display.teal,display.teal.0,#c7f5ef,display.teal.0,#e2fffb,token-remap,5.63
light,display.teal,display.teal.1,#89ebe1,display.teal.1,#daf9f5,token-remap,5.54
light,display.teal,display.teal.2,#22d3c7,display.teal.2,#b5fbf3,token-remap,3.87
light,display.teal,display.teal.3,#1db9b4,display.teal.3,#a4efe8,token-remap,3
light,display.teal,display.teal.4,#179b9b,display.teal.4,#6ee5dc,token-remap,1.15
light,display.teal,display.teal.5,#127e81,display.teal.5,#39dad2,token-remap,1.81
light,display.teal,display.teal.6,#106e75,display.teal.6,#32bab8,token-remap,6.86
light,display.teal,display.teal.7,#0d5b63,display.teal.7,#249c9b,token-remap,5.05
light,display.teal,display.teal.8,#0a4852,display.teal.8,#128182,token-remap,6.23
light,display.teal,display.teal.9,#073740,display.teal.9,#197b7b,token-remap,6.53
light,display.yellow,display.yellow.0,#ffec9e,display.yellow.2,#ffed9c,token-remap,1.48
light,display.yellow,display.yellow.1,#ffd642,display.yellow.4,#ffd743,token-remap,0.54
light,display.yellow,display.yellow.2,#ebb400,display.yellow.5,#fabf21,token-remap,4.56
light,display.yellow,display.yellow.3,#d19d00,display.yellow.7,#db9d00,token-remap,4.71
light,display.yellow,display.yellow.4,#b88700,display.yellow.8,#be7d00,token-remap,8.45
light,display.yellow,display.yellow.5,#946a00,display.yellow.9,#a06100,token-remap,10.73
light,display.yellow,display.yellow.6,#805900,display.yellow.10,#824800,token-remap,11.97
light,display.yellow,display.yellow.7,#704d00,display.yellow.11,#653200,token-remap,11.81
light,display.yellow,display.yellow.8,#5c3d00,display.yellow.12,#5b2c01,token-remap,11.34
light,display.yellow,display.yellow.9,#422b00,display.yellow.13,#471f00,token-remap,11.04
dark,blue,blue.0,#cae8ff,blue.0,#c2edff,token-remap,5.12
dark,blue,blue.1,#a5d6ff,blue.1,#a2daff,token-remap,3.31
dark,blue,blue.2,#79c0ff,blue.3,#78bafe,token-remap,3.9
dark,blue,blue.3,#58a6ff,blue.4,#3094ff,token-remap,12.88
dark,blue,blue.4,#388bfd,blue.5,#0377ff,token-remap,6.55
dark,blue,blue.5,#1f6feb,blue.6,#0064e3,token-remap,5.16
dark,blue,blue.6,#1158c7,blue.7,#0a50db,token-remap,9.55
dark,blue,blue.7,#0d419d,blue.10,#082a8f,nearest-color,13
dark,blue,blue.8,#0c2d6b,blue.10,#082a8f,token-remap,7.8
dark,blue,blue.9,#051d4d,blue.13,#000839,nearest-color,8.66
dark,coral,coral.0,#ffddd2,coral.0,#ffdcce,nearest-color,1.66
dark,coral,coral.1,#ffc2b2,coral.1,#ffcebe,nearest-color,5.97
dark,coral,coral.2,#ffa28b,coral.3,#fa9072,nearest-color,9.95
dark,coral,coral.3,#f78166,coral.3,#fa9072,nearest-color,6.89
dark,coral,coral.4,#ea6045,coral.4,#f66945,nearest-color,5.59
dark,coral,coral.5,#cf462d,coral.6,#c53211,nearest-color,9.86
dark,coral,coral.6,#ac3220,coral.8,#a22710,nearest-color,5.29
dark,coral,coral.7,#872012,coral.9,#8e1e0b,nearest-color,5.74
dark,coral,coral.8,#640d04,coral.10,#701301,nearest-color,6.79
dark,coral,coral.9,#460701,coral.11,#500a00,nearest-color,5.76
dark,green,green.0,#aff5b4,green.0,#aff5b4,token-remap,0
dark,green,green.1,#7ee787,green.1,#7ee787,token-remap,0
dark,green,green.2,#56d364,green.2,#56d364,token-remap,0
dark,green,green.3,#3fb950,green.3,#3fb950,token-remap,0
dark,green,green.4,#2ea043,green.4,#2ea043,token-remap,0
dark,green,green.5,#238636,green.5,#238636,token-remap,0
dark,green,green.6,#196c2e,green.6,#196c2e,token-remap,0
dark,green,green.7,#0f5323,green.7,#0f5323,nearest-color,0
dark,green,green.8,#033a16,green.8,#033a16,token-remap,0
dark,green,green.9,#04260f,green.9,#04260f,nearest-color,0
dark,neutral,neutral.1,#0d1117,neutral.0,#060907,token-remap,5.49
dark,neutral,neutral.2,#151b23,neutral.1,#0f1511,token-remap,9.08
dark,neutral,neutral.3,#212830,neutral.3,#252b27,token-remap,8.52
dark,neutral,neutral.4,#262c36,neutral.3,#252b27,token-remap,9.83
dark,neutral,neutral.5,#2a313c,neutral.3,#252b27,token-remap,10.84
dark,neutral,neutral.6,#2f3742,neutral.4,#353c37,token-remap,10.85
dark,neutral,neutral.7,#3d444d,neutral.5,#3b443e,token-remap,9.87
dark,neutral,neutral.8,#656c76,neutral.9,#6c786f,token-remap,11.96
dark,neutral,neutral.9,#9198a1,neutral.10,#9ca89f,token-remap,11.48
dark,neutral,neutral.10,#b7bdc8,neutral.11,#b8c4bc,nearest-color,10.63
dark,neutral,neutral.11,#d1d7e0,neutral.13,#d6e0d8,nearest-color,9.39
dark,neutral,neutral.12,#f0f6fc,neutral.14,#e9f0eb,token-remap,6.17
dark,orange,orange.0,#ffdfb6,orange.0,#fbddc6,token-remap,8.45
dark,orange,orange.1,#ffc680,orange.2,#fab580,nearest-color,10.15
dark,orange,orange.2,#ffa657,orange.2,#fab580,token-remap,11.62
dark,orange,orange.3,#f0883e,orange.3,#f08a3a,nearest-color,2.52
dark,orange,orange.4,#db6d28,orange.4,#ea7110,token-remap,9.28
dark,orange,orange.5,#bd561d,orange.6,#b35101,nearest-color,6.66
dark,orange,orange.6,#9b4215,orange.8,#924100,nearest-color,6.65
dark,orange,orange.7,#762d0a,orange.9,#713200,nearest-color,6.34
dark,orange,orange.8,#5a1e02,orange.10,#572400,token-remap,4.97
dark,orange,orange.9,#3d1300,orange.11,#3d1800,nearest-color,3.58
dark,pink,pink.0,#ffdaec,pink.0,#ffdbf7,nearest-color,5.19
dark,pink,pink.1,#ffbedd,pink.1,#fbcaef,nearest-color,7.66
dark,pink,pink.2,#ff9bce,pink.2,#fcabe7,nearest-color,10.27
dark,pink,pink.3,#f778ba,pink.3,#f67ed2,nearest-color,10.91
dark,pink,pink.4,#db61a2,pink.4,#ed55ba,token-remap,15.21
dark,pink,pink.5,#bf4b8a,pink.8,#961c66,nearest-color,15
dark,pink,pink.6,#9e3670,pink.8,#961c66,nearest-color,7.96
dark,pink,pink.7,#7d2457,pink.10,#741550,nearest-color,4.65
dark,pink,pink.8,#5e103e,pink.11,#520e39,nearest-color,4.7
dark,pink,pink.9,#42062a,pink.11,#520e39,nearest-color,6.97
dark,purple,purple.0,#eddeff,purple.0,#eadbff,nearest-color,1.87
dark,purple,purple.1,#e2c5ff,purple.2,#d8befc,nearest-color,3.61
dark,purple,purple.2,#d2a8ff,purple.3,#d3b3fe,token-remap,7.92
dark,purple,purple.3,#be8fff,purple.4,#c08bfc,token-remap,2.22
dark,purple,purple.4,#ab7df8,purple.4,#c08bfc,token-remap,8.37
dark,purple,purple.5,#8957e5,purple.5,#a665f9,nearest-color,8.1
